epoch,batch,sim_dog_animal,sim_cat_animal,sim_man_person,grad_dog,grad_cat,grad_animal,grad_person,grad_man
1,1,0.054450131952762604,0.15793196856975555,0.23040147125720978,0.01082694623619318,3.9891061782836914,0.0,11.988040924072266,0.0
2,0,0.0476841926574707,0.23243358731269836,0.3015691041946411,0.01852404512465,7.97743558883667,0.0,15.971498489379883,0.0
2,1,0.0476841926574707,0.23243358731269836,0.36400023102760315,0.01852404512465,7.97743558883667,0.0,19.944629669189453,0.0
3,0,0.041445858776569366,0.2993137538433075,0.42191943526268005,0.024013374000787735,11.960817337036133,0.0,23.906936645507812,0.0
3,1,0.041445858776569366,0.2993137538433075,0.470167338848114,0.024013374000787735,11.960817337036133,0.0,27.85687828063965,0.0
4,0,0.03650534898042679,0.35637521743774414,0.5149806141853333,0.028027953580021858,15.936498641967773,0.0,31.796018600463867,0.0
4,1,0.03650534898042679,0.35637521743774414,0.5507575273513794,0.028027953580021858,15.936498641967773,0.0,35.723106384277344,0.0
5,0,0.032916098833084106,0.40281179547309875,0.584358274936676,0.031081950291991234,19.90411376953125,0.0,39.64134979248047,0.0
5,1,0.032916098833084106,0.40281179547309875,0.610011100769043,0.031081950291991234,19.90411376953125,0.0,43.54975891113281,0.0
6,0,0.030507417395710945,0.4386679232120514,0.6344668865203857,0.03351530432701111,23.86494255065918,0.0,47.45283508300781,0.0
6,1,0.030507417395710945,0.4386679232120514,0.652107298374176,0.03351530432701111,23.86494255065918,0.0,51.349853515625,0.0
7,0,0.029039155691862106,0.4646461308002472,0.6691860556602478,0.03555179759860039,27.821374893188477,0.0,55.245811462402344,0.0
7,1,0.029039155691862106,0.4646461308002472,0.6805334687232971,0.03555179759860039,27.821374893188477,0.0,59.14006042480469,0.0
8,0,0.028238914906978607,0.4819062352180481,0.6916698813438416,0.03734057396650314,31.77640151977539,0.0,63.037174224853516,0.0
8,1,0.028238914906978607,0.4819062352180481,0.6981574892997742,0.03734057396650314,31.77640151977539,0.0,66.93640899658203,0.0
9,0,0.027863914147019386,0.49193960428237915,0.7045926451683044,0.03898287191987038,35.73293685913086,0.0,70.84123229980469,0.0
9,1,0.027863914147019386,0.49193960428237915,0.7075393199920654,0.03898287191987038,35.73293685913086,0.0,74.75080108642578,0.0
epoch,batch,sim_dog_animal,sim_cat_animal,sim_man_person,grad_dog,grad_cat,grad_animal,grad_person,grad_man
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epoch,batch,sim_dog_animal,sim_cat_animal,sim_man_person,grad_dog,grad_cat,grad_animal,grad_person,grad_man
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epoch,batch,sim_dog_animal,sim_cat_animal,sim_man_person,grad_dog,grad_cat,grad_animal,grad_person,grad_man
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epoch,batch,sim_dog_animal,sim_cat_animal,sim_man_person,grad_dog,grad_cat,grad_animal,grad_person,grad_man
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
